Batter,REA,RES,PA,OPS,OBP,SLG,AVG,RBI,HR
voitl001,102.7351191718595,-112.71377495220074,568,.710,.308,.402,.226,69,22
myerw001,53.449524101429574,-56.40552382974307,286,.713,.315,.398,.261,41,7
hosme001,74.50718132973029,-74.32571784966134,419,.716,.334,.382,.268,44,8
profj001,104.74545606416577,-117.56119964012251,658,.722,.331,.391,.243,58,15
smitp002,47.480429802518,-56.88215244767755,277,.667,.300,.367,.220,33,9
kellc002,59.56636541547769,-82.01832563119503,354,.616,.282,.334,.211,35,7
beers001,18.08744142756918,-22.97105307658251,126,.521,.278,.243,.189,9,1
kim-h002,105.27679746039074,-102.53617395765414,582,.708,.325,.383,.251,59,11
grist001,83.56850955688606,-99.98556071087914,524,.625,.284,.341,.184,53,17
perdg001,76.87353435667029,-96.49152767245612,500,.547,.285,.262,.195,40,5
hummc001,30.24110595572636,-41.651656129853684,201,.581,.274,.307,.176,17,3
abrac001,49.55552624685385,-57.97736568798543,302,.604,.280,.324,.246,21,2
alfaj002,51.37887938375823,-50.29701292418742,274,.668,.285,.383,.246,40,7
beatm001,4.043597155894924,-14.580724311189384,47,.333,.170,.163,.093,1,0
alcas002,38.05182597872846,-49.66652225221574,224,.617,.261,.356,.220,29,6
herrj003,13.343538390781035,-26.66790509605655,124,.457,.250,.207,.189,5,0
azocj001,28.49650273082886,-43.67883795827043,216,.630,.298,.332,.257,10,0
mccaj003,78.17316216760005,-63.27456990980683,354,.769,.342,.427,.283,43,8
herny003,2.5340416620012656,-6.863891284056201,28,.237,.154,.083,.083,0,0
davim005,5.332314899309245,-6.637215889594199,37,.540,.216,.324,.147,3,2
canor001,9.978564425502897,-20.849466290537737,104,.373,.183,.190,.150,4,1
ahmen001,10.118122849827945,-12.873956287801498,54,.701,.259,.442,.231,7,3
mccaj001,28.96543685848187,-40.66710267248367,191,.539,.257,.282,.195,18,3
smitd008,23.684977808476777,-27.487860460416872,152,.560,.276,.284,.194,17,0
jankt001,7.800080246602143,-11.714764125983836,64,.445,.281,.164,.164,2,0
taylc001,76.14345899676522,-93.74105476897805,454,.677,.304,.373,.221,43,10
luplj001,42.58029938497791,-53.84582900155537,234,.635,.274,.361,.176,28,11
riose001,19.063117326136197,-21.87360240421918,92,.793,.293,.500,.244,17,7
joe-c001,83.5034351323378,-97.76696252757387,467,.697,.338,.359,.238,28,7
blacc001,121.21471841174625,-119.81348191774141,577,.733,.314,.419,.264,78,16
gricr001,104.74189299721198,-121.57115732436161,538,.724,.299,.425,.259,73,19
cronc002,132.99123118254252,-142.05160049054638,632,.783,.315,.468,.257,102,29
mcmar001,115.89722430182995,-127.02731461885715,597,.741,.327,.414,.246,67,20
diaze005,68.52907619121778,-92.02190179482761,381,.649,.281,.368,.228,51,9
rodgb002,108.9384397876831,-136.08334754149226,581,.733,.325,.408,.266,63,13
hills005,33.751417087069115,-50.10120701257861,200,.544,.280,.264,.184,14,2
iglej001,82.07163680758609,-93.49869910986791,467,.708,.328,.380,.292,47,3
rojaj001,104.39448774095787,-103.10473570969252,510,.740,.349,.391,.269,56,9
dazay001,75.26239936253019,-81.45206222845623,408,.733,.349,.384,.301,34,2
nuned001,3.503352128783686,-9.914669174243462,41,.396,.244,.152,.121,2,0
thoma004,68.47020570498019,-85.45568281221209,411,.619,.275,.344,.231,39,8
garca003,55.47599846219039,-78.27666246662984,380,.583,.266,.317,.224,35,8
gonze004,5.783171584103061,-8.448659777298223,41,.484,.268,.216,.189,3,0
henrp001,5.165211315847502,-6.981436003047884,35,.457,.314,.143,.143,4,0
orter001,65.85805353564457,-78.16381922894672,371,.689,.331,.358,.241,35,7
contw001,90.30172066811961,-90.88779569681044,487,.815,.349,.466,.243,55,22
happi001,114.62754612452618,-124.13773433986813,641,.782,.342,.440,.271,72,17
wisdp001,98.78980491711243,-116.38750669141474,534,.724,.298,.426,.207,66,25
rivaa001,46.8215482654386,-52.59229997887745,287,.629,.322,.307,.235,25,3
